Year;Population
1960;48013505
1961;49362834
1962;50752150
1963;52202008
1964;53741721
1965;55385114
1966;57157651
1967;59034250
1968;60918452
1969;62679765
1970;64232486
1971;65531635
1972;66625706
1973;67637541
1974;68742222
1975;70066310
1976;71652386
1977;73463593
1978;75450033
1979;77529040
1980;79639498
1981;81767516
1982;83932132
1983;86142490
1984;88416529
1985;90764180
1986;93187593
1987;95671159
1988;98186350
1989;100695496
1990;103171957
1991;105599125
1992;107983708
1993;110350641
1994;112737684
1995;115169933
1996;117649927
1997;120160571
1998;122682818
1999;125189655
2000;127657862
2001;130088709
2002;132478077
2003;134791598
2004;136986429
2005;139035505
2006;140921154
2007;142660381
2008;144304164
2009;145924795
2010;147575433
2011;149273134
2012;151005733
2013;152761413
2014;154517385
2015;156256287
2016;157977151
2017;159685421
2018;161376713
2019;163046173
