fch;pernoctaciones
2020M03;8369465
2020M02;17710222
2020M01;15959217
2019M12;16906376
2019M11;18345499
2019M10;30508159
2019M09;37551418
2019M08;46998612
2019M07;43205627
2019M06;37102583
2019M05;32040448
2019M04;26888520
2019M03;21520914
2019M02;16589486
2019M01;15506154
2018M12;16655848
2018M11;18261076
2018M10;31132356
2018M09;37768667
2018M08;46306240
2018M07;42717096
2018M06;36168465
2018M05;31921157
2018M04;25207350
2018M03;21918931
2018M02;16527859
2018M01;15395882
2017M12;16211799
2017M11;17537436
2017M10;30898617
2017M09;37961599
2017M08;46657187
2017M07;43624461
2017M06;36646402
2017M05;31439920
2017M04;27549426
2017M03;20508641
2017M02;16346534
2017M01;15200690
2016M12;16013165
2016M11;17134705
2016M10;30587997
2016M09;37218422
2016M08;46502956
2016M07;42948946
2016M06;34430872
2016M05;30401275
2016M04;23056973
2016M03;22022933
2016M02;16379849
2016M01;14470851
2015M12;15043365
2015M11;15862738
2015M10;28073790
2015M09;34918861
2015M08;44813404
2015M07;39850064
2015M06;32092513
2015M05;28041622
2015M04;23087381
2015M03;18596568
2015M02;14513335
2015M01;13342087
2014M12;14041916
2014M11;15113125
2014M10;26243441
2014M09;33858937
2014M08;42991384
2014M07;37641540
2014M06;31567799
2014M05;26691702
2014M04;22298622
2014M03;18129451
2014M02;13875208
2014M01;12807505
2013M12;13595795
2013M11;15087587
2013M10;25015770
2013M09;32647844
2013M08;41900828
2013M07;37670863
2013M06;30808604
2013M05;26359256
2013M04;19135958
2013M03;18815829
2013M02;13104722
2013M01;11887105
2012M12;12398564
2012M11;13854509
2012M10;23909187
2012M09;32045387
2012M08;40581091
2012M07;37395658
2012M06;30243838
2012M05;24628932
2012M04;21445224
2012M03;17393498
2012M02;14163457
2012M01;12600203
2011M12;13044798
2011M11;14674921
2011M10;24764256
2011M09;32099863
2011M08;41694917
2011M07;37980214
2011M06;30704218
2011M05;24670723
2011M04;22618769
2011M03;18086818
2011M02;14238644
2011M01;12183118
2010M12;12778595
2010M11;14363392
2010M10;23976893
2010M09;29696355
2010M08;39085826
2010M07;34909440
2010M06;27357010
2010M05;23982979
2010M04;19843019
2010M03;16752851
2010M02;13108750
2010M01;11308373
2009M12;12030368
2009M11;13255271
2009M10;21752259
2009M09;27387006
2009M08;36192581
2009M07;32764251
2009M06;26082353
2009M05;22661503
2009M04;19591068
2009M03;15536341
2009M02;12527991
2009M01;11203819
2008M12;11946130
2008M11;13685099
2008M10;22253202
2008M09;29305643
2008M08;37945216
2008M07;34559658
2008M06;27737509
2008M05;25060656
2008M04;19300764
2008M03;19216126
2008M02;14831691
2008M01;12710146
2007M12;13356493
2007M11;15289839
2007M10;23476804
2007M09;30142242
2007M08;38132493
2007M07;34315590
2007M06;28459008
2007M05;23486608
2007M04;21690169
2007M03;17428802
2007M02;13555040
2007M01;12356394
2006M12;13141207
2006M11;14269663
2006M10;23372257
2006M09;29918731
2006M08;37636214
2006M07;34105558
2006M06;27996368
2006M05;23734897
2006M04;21185887
2006M03;16370344
2006M02;13221070
2006M01;12075662
2005M12;11572418
2005M11;13162420
2005M10;22163277
2005M09;28313666
2005M08;35857571
2005M07;31022067
2005M06;25042689
2005M05;22318874
2005M04;16480644
2005M03;16184767
2005M02;12430710
2005M01;11088055
2004M12;11384786
2004M11;12294550
2004M10;21180295
2004M09;26878757
2004M08;34472302
2004M07;29131986
2004M06;23776940
2004M05;20624722
2004M04;17537681
2004M03;14731784
2004M02;12278676
2004M01;10404685
2003M12;10426118
2003M11;11600240
2003M10;19635547
2003M09;25943815
2003M08;33851008
2003M07;28557092
2003M06;24047255
2003M05;20977540
2003M04;17483719
2003M03;14414114
2003M02;11135676
2003M01;10088783
2002M12;10267810
2002M11;11536070
2002M10;19395671
2002M09;25483036
2002M08;32147463
2002M07;27712422
2002M06;22781459
2002M05;20427391
2002M04;15757341
2002M03;15746849
2002M02;11501625
2002M01;9797644
2001M12;10051397
2001M11;11920037
2001M10;20014768
2001M09;26584837
2001M08;32004309
2001M07;28657024
2001M06;23896573
2001M05;21063744
2001M04;18085751
2001M03;14516657
2001M02;11753586
2001M01;10132886
2000M12;10325261
2000M11;11871141
2000M10;20400125
2000M09;26175432
2000M08;31282474
2000M07;28181545
2000M06;24084087
2000M05;20998662
2000M04;18006005
2000M03;14537790
2000M02;11453033
2000M01;9828017
1999M12;10189931
1999M11;11875758
1999M10;21402806
1999M09;26750512
1999M08;31967269
1999M07;28531434
1999M06;24313223
1999M05;21966528
1999M04;17472798
1999M03;14212113
1999M02;11451100
1999M01;10406167
